dexy - INFO - starting logging for dexy
dexy - INFO - (state:running) 81052b4aedf0ee84adb4a500d33cda68 doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/vendor/jquery.js: running...
dexy - INFO - (state:running) be58f09adf1116f7938d32f3ae101d80 doc:node_modules/grunt/node_modules/grunt-legacy-log/examples.js: running...
dexy - INFO - (state:running) 6e9dae7656251b2178c1180e6567bf83 doc:node_modules/grunt/node_modules/glob/node_modules/graceful-fs/test/ulimit.js: running...
dexy - INFO - (state:running) 6b5dcd72be7bfab761bab48782f89c13 doc:node_modules/grunt/node_modules/hooker/grunt.js: running...
dexy - INFO - (state:running) 635f4d8fea537b95d96cc3b1538bc843 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/noptify/test/fixtures/a.js: running...
dexy - INFO - (state:running) 36a8e534b15e62bded1937180149a484 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/faye-websocket/examples/client.js: running...
dexy - INFO - (state:running) c088c27584a0fe306c166a487c2989c1 doc:node_modules/grunt/node_modules/rimraf/test/test-sync.js: running...
dexy - INFO - (state:running) f53b588efa27b36e7d165055d1b6fea7 doc:node_modules/grunt/node_modules/iconv-lite/test/main-test.js: running...
dexy - INFO - (state:running) 3e2ce0ca77488b286c8965cd5fd75bd4 doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/objects.js: running...
dexy - INFO - (state:running) 5e3a1c5bdedc8b204a48561005cb090c doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/noptify/node_modules/nopt/lib/nopt.js: running...
dexy - INFO - (state:running) bbe9ce0d433407ab00a257a188d7addb doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/lib/entry.js: running...
dexy - INFO - (state:running) c96d72d0b692d98580ce38c260eaa3c8 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/mkdirp/index.js: running...
dexy - INFO - (state:running) 8aa27d22fcd1a0d99cdf188e1eb44b13 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/strings.js: running...
dexy - INFO - (state:running) f4f4d8f8ab717e4405f92e6888be12e9 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/examples/constants.js: running...
dexy - INFO - (state:running) e1103d346b5d75d0807d8b6365b6aa80 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/inherits/inherits.js: running...
dexy - INFO - (state:running) ee1df0c5c63eed1ce10522803a05c265 doc:node_modules/grunt/node_modules/colors/themes/winston-dark.js: running...
dexy - INFO - (state:running) f158675a465c97ba49fcd17a7310c7ee doc:node_modules/grunt/node_modules/lodash/vendor/tar/lib/entry-writer.js: running...
dexy - INFO - (state:running) a95b4e5124fc6ba6e15b1cbee29ff60f doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/test/nocase-nomagic.js: running...
dexy - INFO - (state:running) 1eeb71a0a366e84f16868d601b26244c doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/underscore.string/test/test_underscore/chaining.js: running...
dexy - INFO - (state:running) f64152c404667bf621c549d7d665717f doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/noptify/actions/collectable.js: running...
dexy - INFO - (state:running) 24422e9419bb206ff46ebe07e079725f doc:node_modules/grunt/node_modules/nopt/bin/nopt.js: running...
dexy - INFO - (state:running) bf7a8671f5c0f63e1b2aec4d300d86e5 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/test/pause-resume.js: running...
dexy - INFO - (state:running) a5aa0ea26431c196362c7345b0d613b7 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/test/00-setup.js: running...
dexy - INFO - (state:running) 3f1634a764bdb07a566305746a8967e2 doc:node_modules/grunt/node_modules/colors/test.js: running...
dexy - INFO - (state:running) 90d8e6e1284b81373b4fa8ba7b8ac3d0 doc:node_modules/grunt/node_modules/colors/example.js: running...
dexy - INFO - (state:running) f739d957331953b2a7c2b558b09daa87 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/debug/index.js: running...
dexy - INFO - (state:running) dbe79b5c33dc7ab4e7bac120cf941338 doc:node_modules/grunt/node_modules/coffee-script/lib/coffee-script/optparse.js: running...
dexy - INFO - (state:running) c49ea6cf5cebf0e7f2012a60c8e04783 doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/schema.js: running...
dexy - INFO - (state:running) 8df56d17c4cc0e475124d3cbba8bc7bd doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/dumper.js: running...
dexy - INFO - (state:running) bad69cc29657ba9884b5236c76d0726f doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/index.js: running...
dexy - INFO - (state:running) 3c1dcd6a41d39d965758a7f169d6da04 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/lib/server.js: running...
dexy - INFO - (state:running) a755dca9f452bbb6215781b58a2797d1 doc:node_modules/grunt/node_modules/grunt-legacy-util/test/fixtures/spawn-multibyte.js: running...
dexy - INFO - (state:running) 2ef1f973fb7059e2a1088dfc0597f25e doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/examples/parents.js: running...
dexy - INFO - (state:running) 149687928d7e0442d40eaf5cd9dd9562 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/lib/action.js: running...
dexy - INFO - (state:running) f3abdaa2849f657c452a5c7a694dc159 doc:node_modules/grunt-contrib-compass/tasks/compass.js: running...
dexy - INFO - (state:running) 54252871408bd3a7f2fedbfa9b20b5d7 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/lru-cache/test/basic.js: running...
dexy - INFO - (state:running) e85fd93e763c54a3ec31980d9d854e85 doc:node_modules/grunt/node_modules/findup-sync/node_modules/lodash/dist/lodash.underscore.min.js: running...
dexy - INFO - (state:running) 873820592badf223bbd08a3c8dc8d11f doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/lodash/dist/lodash.min.js: running...
dexy - INFO - (state:running) 254a063cfd960339659dfde6047902ed doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/faye-websocket/lib/faye/websocket/client.js: running...
dexy - INFO - (state:running) b2e4ae73ec937a9bd31ce9122bcf498b doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/examples/prefix_chars.js: running...
dexy - INFO - (state:running) 73d8fecac92b02d9e7caaec95d42a262 doc:node_modules/grunt/node_modules/minimatch/test/brace-expand.js: running...
dexy - INFO - (state:running) e7b32bc0a004e66d1ea28f18aa3f5b33 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/underscore.string/test/test_underscore/vendor/jslitmus.js: running...
dexy - INFO - (state:running) 3f6599a9051e3b690fc28ba47f3bdd7b doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/lib/globule.js: running...
dexy - INFO - (state:running) c10a82d11a02f7206cf5fb89497bf712 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/test/brace-expand.js: running...
dexy - INFO - (state:running) e869f861c92f42a765f734da02fbb5fc doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/schema/default.js: running...
dexy - INFO - (state:running) 9d4dd0523da74ab903bf682671e5f016 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/test_underscore/functions.js: running...
dexy - INFO - (state:running) dca9aed5a16f72f671fad0e58b5bbd31 doc:node_modules/grunt-contrib-compass/node_modules/dargs/dargs.js: running...
dexy - INFO - (state:running) d1627f0abb91b104ca4b5d20dbd214d4 doc:node_modules/grunt/node_modules/underscore.string/test/strings_standalone.js: running...
dexy - INFO - (state:running) 4bc72d840b964088c02aa1a5085ea8e0 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/fstream/lib/link-writer.js: running...
dexy - INFO - (state:running) 530932c273682bfefb9a6689c0707cac doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/strings_standalone.js: running...
dexy - INFO - (state:running) de236fe86112f23911fb46a5921e1df2 doc:node_modules/grunt/node_modules/coffee-script/lib/coffee-script/scope.js: running...
dexy - INFO - (state:running) caf21fe454d8e9d6178140dbc31ad2c1 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/dist/lodash.min.js: running...
dexy - INFO - (state:running) 9109f769c6ae38dc433729218340ab84 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/lodash/dist/lodash.underscore.js: running...
dexy - INFO - (state:running) f9aab4abc78960ef356e4edd7dcdb3a0 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/test/zz-cleanup.js: running...
dexy - INFO - (state:running) 00a610e4287b40988729d96b147f71ea doc:node_modules/grunt/node_modules/nopt/lib/nopt.js: running...
